Item,Image,Price (€),Neighborhood,Zipcode,Link
"Paket/ Kinder Bekleidung Crocs, peppa Mütze.","<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/dFcAAOSwre9gJREw/$_2.JPG"" style=""max-height:124px;""></img>",10,Tempelhof,12099,https://www.ebay-kleinanzeigen.de/s-anzeige/paket-kinder-bekleidung-crocs-peppa-muetze-/1664272144-22-3409
Paw Patrol Pudding Ei Sammelfiguren Sam Peppa Schlumpf PJ Dragon,"<img src=""https://i.ebayimg.com/00/s/Nzc4WDE2MDA=/z/m4UAAOSwUJtgJAg7/$_2.JPG"" style=""max-height:124px;""></img>",1,Tempelhof,12105,https://www.ebay-kleinanzeigen.de/s-anzeige/paw-patrol-pudding-ei-sammelfiguren-sam-peppa-schlumpf-pj-dragon/1663729093-23-3408
Peppa Wutz Buch Ein Tag im Kindergarten,"<img src=""https://i.ebayimg.com/00/s/MTQ0OVgxNjAw/z/uJMAAOSw-5dgI6jE/$_2.JPG"" style=""max-height:124px;""></img>",3,Steglitz,12247,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-buch-ein-tag-im-kindergarten/1663278249-76-3424
Peppa Wutz Kleid und Langarmshirt Größe 86-92,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/QhcAAOSwfl1gI5eF/$_2.JPG"" style=""max-height:124px;""></img>",5,Treptow,12487,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-kleid-und-langarmshirt-groesse-86-92/1663217416-22-3483
Mütze und Fäustlinge PEPPA PIG,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/z30AAOSwL7xgIldQ/$_2.JPG"" style=""max-height:124px;""></img>",5,Zehlendorf,14167,https://www.ebay-kleinanzeigen.de/s-anzeige/muetze-und-faeustlinge-peppa-pig/1662381670-22-3526
"Peppa Pig Rock, Gr. 86 - 98","<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/sn8AAOSwkp9gIk2v/$_2.JPG"" style=""max-height:124px;""></img>",3,Prenzlauer Berg,10435,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-rock-gr-86-98/1662342452-22-3489
Peppa Wutz Pig Fingerpuppen,"<img src=""https://i.ebayimg.com/00/s/MTA2OVgxNjAw/z/6-sAAOSw1ZpgIYJF/$_2.JPG"" style=""max-height:124px;""></img>",2,Schöneberg,12157,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-pig-fingerpuppen/1662037533-23-9648
Peppa Wutz Magnetspiel,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/5DcAAOSwQUFgIQ-M/$_2.JPG"" style=""max-height:124px;""></img>",4,Spandau,13585,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-magnetspiel/1661476542-23-3438
"4 Schlafanzüge Einteiler Größe 98/104 Elsa, Minnie Maus, Peppa","<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/Tv0AAOSw3PlgI5oy/$_2.JPG"" style=""max-height:124px;""></img>",20,Treptow,12487,https://www.ebay-kleinanzeigen.de/s-anzeige/4-schlafanzuege-einteiler-groesse-98-104-elsa-minnie-maus-peppa/1661337675-22-3483
Peppa Wutz Sprechender George/Schorch mit Dino+Sound 33 cm,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/V3wAAOSwQpZgIKeZ/$_2.JPG"" style=""max-height:124px;""></img>",13,Tempelhof,12101,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-sprechender-george-schorch-mit-dino-sound-33-cm/1661321697-23-3404
